MainCode,Description,Color,Size,Unit,OnHand,Price1,Bin#,MainCode2,Price2,Price3,Price4,Price5
AMZN,AMAZON PAYMENT,,,,0,"$13,941.70 ",,,$0.00 ,$0.00 ,$0.00 ,$0.00 
BOX(52*45*48),PACKING BOX,,,,300,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 
DB BARCODE STIC,DB BARCODE STICKER(MM111),,,,1,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 
DB REORDER DZ P,DB REORDER DZ POLYBAG(MM111),,,,2,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 
DB REORDER TAG ,DB REORDER TAG CARD(MM111),,,,1,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 
DB STICKER(MM11,DB STICKER(MM111),,,,1,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 
DP L1,LUX DISPLAY (TOP),,,,0,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 
DP L2,LUX DISPLAY (BOTTOM),,,,0,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 
DP1,MULTI PRODUCTS SET FOR DR1,N/A,N/A,N/A,200,$396.00 ,N/A,,$0.00 ,$396.00 ,$0.00 ,$0.00 
DR1,FLOOR DISPLAY RACK W/ TURNTABLE FOR DP1,N/A,N/A,N/A,0,$0.00 ,N/A,,$0.00 ,$0.00 ,$0.00 ,$0.00 
HOOK,HOOK 0.5*200MM,,,,6000,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 
IN5011,MESH WIG CAP (DOME STYLE) : BLK ,N/A,N/A,N/A,3168,$0.43 ,N/A,,$0.43 ,$0.43 ,$0.43 ,$0.43 
IN5011-3,"MESH WIG CAP (DOME STYLE) : BLK, 3PCS",N/A,N/A,N/A,2204,$1.30 ,N/A,,$1.30 ,$1.30 ,$1.30 ,$1.30 
IN5017,SPANDEX DOME CAP : BLK,N/A,N/A,N/A,936,$0.33 ,N/A,,$0.33 ,$0.33 ,$0.00 ,$0.00 
IN5017-3,"SPANDEX DOME CAP : BLK, 3PCS",N/A,N/A,N/A,864,$1.00 ,N/A,,$1.00 ,$1.00 ,$0.00 ,$0.00 
IN5021-3,"MESH WIG CAP, XL (DOME STYLE) : BLK, 3PCS ",N/A,N/A,N/A,672,$1.35 ,N/A,,$1.35 ,$1.35 ,$1.35 ,$1.35 
K001,DU-RAG : BLACK,BLACK,R,DZ,960,$4.50 ,A1,,$6.00 ,$9.00 ,$0.00 ,$0.00 
